name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Sordariomycetes,4152,657,5907,2826,10944,3007,1342,18610,3710,33,0,4346,14,6147,7978,1,9,0
Eurotiomycetes,45,0,150,1,109,633,23,0,910,13948,0,66,0,17,2,1,0,0
Tremellomycetes,427,0,1368,8460,179,709,12294,0,2,907,869,8661,10887,5,27,15850,24138,12
Fungi,2341,0,536,312,133,0,518,0,0,0,16532,3,146,56,0,0,0,0
Entomophthoromycota (class),0,0,0,0,0,0,525,0,0,1,0,0,0,0,0,0,3,4731
Leotiomycetes,56,0,42,533,0,0,4,1,0,0,0,0,0,0,0,0,0,0
Monoblepharidomycetes,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricomycetes,0,0,1,3,0,177,0,0,0,1,0,1,3,0,0,3,5,0
Saccharomycetes,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Entomophthoromycota,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,30
Chytridiomycetes,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsporidetes,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dothideomycetes,0,0,0,22,0,6,0,1,0,0,0,0,0,0,0,0,0,0
Exobasidiomycetes,0,1,8,97,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Cystobasidiomycetes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Lecanoromycetes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Fungi (class),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
